account_id,customer_id,branch_id,account_type,open_date,current_balance,account_status
A000001,C05017,BR023,Savings,2026-06-06,19819755.63,Active
A000002,C00301,BR044,Current,2023-09-24,97548837.44,Active
A000003,C02249,BR044,Savings,2025-07-18,7091056.37,Active
A000004,C05685,BR027,Savings,2022-11-03,556462916.73,Active
A000005,C08352,BR048,Savings,2026-03-20,4553900.24,Closed
A000006,C07896,BR009,Savings,2022-03-17,8888006.12,Active
A000007,C09765,BR023,Current,2023-04-15,3030658.59,Active
A000008,C09841,BR044,Current,2026-08-03,52193158.06,Inactive
A000009,C08587,BR044,Savings,2026-06-26,12463577.69,Active
A000010,C09976,BR005,Savings,2025-08-23,84907075.49,Active
A000011,C05293,BR033,Savings,2026-04-09,140343302.72,Active
A000012,C04860,BR001,Savings,2026-08-25,500902627.13,Active
A000013,C04871,BR035,Savings,2026-05-23,9384581.21,Active
A000014,C01067,BR035,Savings,2025-05-01,6494594.22,Inactive
A000015,C09563,BR016,Savings,2024-03-06,531822833.21,Active
A000016,C04263,BR002,Credit,2025-07-09,14165918.78,Active
A000017,C03298,BR028,Savings,2021-01-31,5137846.12,Active
A000018,C08314,BR021,Savings,2021-11-21,4457390.33,Active
A000019,C02801,BR046,Savings,2025-12-14,6966320.76,Active
A000020,C04986,BR022,Credit,2021-06-27,64381349.13,Inactive
A000021,C08103,BR035,Savings,2023-11-26,88117621.99,Inactive
A000022,C08490,BR036,Current,2026-04-07,17673061.29,Active
A000023,C00987,BR002,Savings,2019-12-25,16898154.89,Active
A000024,C01184,BR009,Current,2023-09-09,11461503.56,Active
A000025,C09471,BR019,Credit,2021-02-25,7102607.16,Active
A000026,C04017,BR011,Savings,2026-03-26,209484965.91,Active
A000027,C01774,BR008,Current,2021-01-30,67148817.72,Active
A000028,C03503,BR008,Savings,2025-07-10,42804073.56,Active
A000029,C00543,BR012,Savings,2025-11-10,14038162.28,Active
A000030,C09613,BR037,Current,2026-01-29,10466264.3,Closed
A000031,C05860,BR028,Current,2025-04-18,10717296.6,Active
A000032,C00017,BR039,Savings,2025-04-03,38736286.85,Active
A000033,C03888,BR020,Savings,2025-06-01,5251327.83,Active
A000034,C03617,BR011,Credit,2025-04-27,110891851.81,Active
A000035,C03431,BR038,Savings,2026-06-05,133192214.91,Active
A000036,C00626,BR045,Current,2026-05-31,13387604.78,Active
A000037,C04290,BR049,Savings,2025-02-10,30646070.93,Active
A000038,C05905,BR028,Savings,2025-09-10,16880712.09,Active
A000039,C00620,BR015,Current,2026-01-08,926706674.87,Active
A000040,C09823,BR003,Savings,2022-11-06,4438364.52,Active
A000041,C00139,BR034,Savings,2021-07-29,11347869.22,Active
A000042,C00417,BR038,Current,2025-09-29,14162529.18,Active
A000043,C08956,BR039,Current,2025-06-25,1768769.83,Active
A000044,C05535,BR016,Savings,2026-08-16,37407069.89,Active
A000045,C09027,BR011,Savings,2023-03-06,7823803.35,Closed
A000046,C01421,BR049,Savings,2026-05-09,32028143.38,Active
A000047,C06122,BR028,Savings,2023-12-17,8521356.35,Active
A000048,C00526,BR047,Current,2023-05-04,7795814.69,Active
A000049,C07769,BR011,Current,2026-07-09,28847946.9,Active
A000050,C03944,BR047,Current,2024-12-12,4111227.66,Active
A000051,C06368,BR019,Credit,2025-10-13,2860667.38,Inactive
A000052,C04295,BR027,Current,2024-11-30,11232106.86,Inactive
A000053,C06824,BR044,Savings,2022-05-31,109921639.09,Active
A000054,C02169,BR011,Savings,2025-08-03,4856445.37,Active
A000055,C03183,BR050,Savings,2019-07-13,119513613.91,Active
A000056,C00571,BR032,Savings,2025-03-18,30229832.61,Closed
A000057,C07975,BR023,Credit,2026-08-27,28194913.06,Active
A000058,C07582,BR040,Savings,2026-08-03,36418304.87,Active
A000059,C05966,BR022,Current,2021-06-03,40486057.56,Active
A000060,C04063,BR027,Savings,2025-08-11,18029575.42,Active
A000061,C00887,BR028,Current,2024-04-22,21507028.08,Active
A000062,C03142,BR033,Savings,2026-05-28,9819435.55,Active
A000063,C03410,BR025,Savings,2025-12-06,8249155.28,Active
A000064,C03165,BR034,Savings,2020-06-04,118429385.17,Inactive
A000065,C06574,BR032,Current,2024-07-28,3757725.36,Active
A000066,C00040,BR023,Savings,2026-07-13,3695675.37,Active
A000067,C08642,BR039,Savings,2024-09-09,24901010.78,Active
A000068,C01481,BR033,Savings,2025-06-07,22159781.8,Inactive
A000069,C01118,BR009,Current,2025-08-11,16733895.38,Active
A000070,C05951,BR048,Current,2024-04-16,7419557.93,Active
A000071,C09119,BR035,Current,2024-12-22,27197196.79,Inactive
A000072,C04372,BR003,Current,2026-07-27,25849532.48,Active
A000073,C08911,BR009,Savings,2020-10-28,374719132.94,Active
A000074,C06101,BR039,Credit,2025-05-16,5848547.67,Inactive
A000075,C06947,BR019,Current,2026-07-20,59403478.94,Active
A000076,C07211,BR037,Savings,2026-07-18,29321385.87,Active
A000077,C01254,BR022,Savings,2025-04-16,43371527.58,Active
A000078,C07479,BR040,Savings,2024-04-07,11551564.92,Active
A000079,C06643,BR002,Savings,2019-10-27,12284174.73,Active
A000080,C04666,BR032,Savings,2023-07-16,71439022.89,Active
A000081,C09779,BR045,Current,2023-08-06,96974857.21,Active
A000082,C09570,BR049,Current,2025-02-02,9423403.8,Active
A000083,C02768,BR009,Savings,2019-01-18,1480977.22,Inactive
A000084,C02879,BR025,Credit,2021-06-02,184373747.86,Active
A000085,C02245,BR047,Savings,2024-12-06,63042011.85,Active
A000086,C03097,BR030,Current,2024-08-03,214436416.27,Active
A000087,C04833,BR008,Current,2026-05-07,149098991.73,Active
A000088,C05698,BR033,Savings,2025-10-27,13441807.1,Active
A000089,C07459,BR006,Savings,2020-12-08,12910579.53,Inactive
A000090,C02158,BR018,Current,2023-09-19,160595637.71,Active
A000091,C02041,BR044,Savings,2026-01-22,15670214.65,Active
A000092,C09992,BR048,Current,2022-04-22,7956203.48,Active
A000093,C09931,BR049,Savings,2024-08-13,5224309.52,Active
A000094,C07180,BR017,Credit,2023-05-22,29980811.16,Active
A000095,C07344,BR028,Savings,2021-12-11,121715274.73,Active
A000096,C06500,BR035,Current,2026-08-05,35040274.63,Active
A000097,C06048,BR001,Current,2024-04-22,161318997.22,Active
A000098,C08361,BR038,Current,2022-09-16,65287443.0,Active
A000099,C08899,BR015,Current,2022-09-23,3717660.58,Active
A000100,C09343,BR034,Credit,2025-08-17,131465879.92,Active
A000101,C04436,BR037,Savings,2024-02-17,3255624.08,Active
A000102,C09070,BR014,Savings,2026-03-21,7970801.85,Closed
A000103,C03737,BR049,Savings,2026-03-20,52293315.15,Active
A000104,C05157,BR028,Current,2026-03-23,143162680.97,Active
A000105,C06269,BR030,Current,2023-08-04,226095352.07,Active
