branch_id,branch_name,province,region,open_date
BR001,SmartBank Ho Chi Minh City Branch 01,Ho Chi Minh City,South,2004-12-29
BR002,SmartBank Ha Noi Branch 02,Ha Noi,North,2012-05-03
BR003,SmartBank Bac Ninh Branch 03,Bac Ninh,North,2010-01-05
BR004,SmartBank Quang Ninh Branch 04,Quang Ninh,North,2004-08-06
BR005,SmartBank Ho Chi Minh City Branch 05,Ho Chi Minh City,South,2003-11-25
BR006,SmartBank Khanh Hoa Branch 06,Khanh Hoa,Central,2018-12-04
BR007,SmartBank Ha Noi Branch 07,Ha Noi,North,2001-05-03
BR008,SmartBank Hai Phong Branch 08,Hai Phong,North,2009-10-22
BR009,SmartBank Bac Ninh Branch 09,Bac Ninh,North,2022-09-01
BR010,SmartBank Khanh Hoa Branch 10,Khanh Hoa,Central,2001-03-10
BR011,SmartBank Nghe An Branch 11,Nghe An,Central,2008-12-01
BR012,SmartBank Can Tho Branch 12,Can Tho,South,2018-10-26
BR013,SmartBank Bac Ninh Branch 13,Bac Ninh,North,2020-02-24
BR014,SmartBank Khanh Hoa Branch 14,Khanh Hoa,Central,2012-06-23
BR015,SmartBank Dong Nai Branch 15,Dong Nai,South,2000-04-16
BR016,SmartBank Dong Nai Branch 16,Dong Nai,South,2007-02-28
BR017,SmartBank Can Tho Branch 17,Can Tho,South,2018-12-16
BR018,SmartBank Da Nang Branch 18,Da Nang,Central,2012-06-18
BR019,SmartBank Quang Ninh Branch 19,Quang Ninh,North,2009-08-28
BR020,SmartBank Dong Nai Branch 20,Dong Nai,South,2015-02-05
BR021,SmartBank Hai Phong Branch 21,Hai Phong,North,2004-02-28
BR022,SmartBank Hue Branch 22,Hue,Central,2004-05-03
BR023,SmartBank Da Nang Branch 23,Da Nang,Central,2015-06-06
BR024,SmartBank Khanh Hoa Branch 24,Khanh Hoa,Central,2011-11-12
BR025,SmartBank Dong Nai Branch 25,Dong Nai,South,2001-12-12
BR026,SmartBank Can Tho Branch 26,Can Tho,South,2020-08-10
BR027,SmartBank Nghe An Branch 27,Nghe An,Central,2005-08-07
BR028,SmartBank Ba Ria - Vung Tau Branch 28,Ba Ria - Vung Tau,South,2016-12-23
BR029,SmartBank Hai Phong Branch 29,Hai Phong,North,2013-02-24
BR030,SmartBank Binh Duong Branch 30,Binh Duong,South,2016-03-22
BR031,SmartBank Khanh Hoa Branch 31,Khanh Hoa,Central,2008-08-16
BR032,SmartBank Can Tho Branch 32,Can Tho,South,2003-02-13
BR033,SmartBank Ha Noi Branch 33,Ha Noi,North,2010-03-22
BR034,SmartBank Dong Nai Branch 34,Dong Nai,South,2012-12-24
BR035,SmartBank Hai Phong Branch 35,Hai Phong,North,2010-06-11
BR036,SmartBank Binh Duong Branch 36,Binh Duong,South,2004-07-12
BR037,SmartBank Hue Branch 37,Hue,Central,2012-06-20
BR038,SmartBank Thanh Hoa Branch 38,Thanh Hoa,Central,2016-05-13
BR039,SmartBank Quang Ninh Branch 39,Quang Ninh,North,2016-08-09
BR040,SmartBank Da Nang Branch 40,Da Nang,Central,2009-05-25
BR041,SmartBank Ho Chi Minh City Branch 41,Ho Chi Minh City,South,2011-12-23
BR042,SmartBank Can Tho Branch 42,Can Tho,South,2003-03-15
BR043,SmartBank Khanh Hoa Branch 43,Khanh Hoa,Central,2007-09-04
BR044,SmartBank Nghe An Branch 44,Nghe An,Central,2010-12-24
BR045,SmartBank Quang Ninh Branch 45,Quang Ninh,North,2020-09-25
BR046,SmartBank Hue Branch 46,Hue,Central,2012-02-09
BR047,SmartBank Ba Ria - Vung Tau Branch 47,Ba Ria - Vung Tau,South,2009-11-07
BR048,SmartBank Ho Chi Minh City Branch 48,Ho Chi Minh City,South,2014-07-19
BR049,SmartBank Binh Duong Branch 49,Binh Duong,South,2002-07-05
BR050,SmartBank Bac Ninh Branch 50,Bac Ninh,North,2001-06-09
