loan_id,customer_id,branch_id,loan_type,loan_amount,interest_rate,loan_start_date,loan_term_months,outstanding_balance,payment_status,risk_level
L000001,C07723,BR018,Mortgage,2799937404.28,10.13,2020-02-06,300,1649684424.1,Current,High
L000002,C09235,BR008,Auto,649752110.05,8.5,2026-08-22,72,148642118.29,Current,Low
L000003,C08594,BR034,Mortgage,1389980702.94,10.48,2020-09-28,300,571280821.54,Current,Medium
L000004,C00141,BR007,Mortgage,2721890837.24,9.36,2025-02-14,120,1133226767.77,Late,High
L000005,C02934,BR006,Business,212686723.03,10.34,2020-07-13,60,48775467.22,Current,Medium
L000006,C06656,BR030,Personal,47370744.74,11.15,2021-04-04,12,32468635.1,Current,Low
L000007,C08119,BR038,Business,978104789.42,14.7,2024-03-15,24,353449363.49,Current,High
L000008,C08015,BR043,Mortgage,1316612523.43,10.03,2025-05-01,240,547857346.53,Late,High
L000009,C02681,BR034,Mortgage,4088473888.96,7.8,2025-09-29,300,3251413133.1,Default,Medium
L000010,C07768,BR007,Mortgage,3180486618.28,8.75,2023-06-07,300,1439663516.35,Late,High
L000011,C07722,BR001,Mortgage,576292667.0,8.04,2020-08-14,120,95786533.08,Current,Low
L000012,C05565,BR047,Mortgage,8897812951.52,6.08,2025-07-19,300,7408109641.44,Default,High
L000013,C02127,BR037,Auto,375159952.91,10.79,2021-07-10,60,152289657.14,Current,Low
L000014,C05145,BR018,Personal,109604070.49,12.84,2026-01-08,36,72465843.13,Current,High
L000015,C08762,BR045,Auto,823456207.98,7.43,2024-06-07,36,337663456.85,Current,Low
L000016,C07260,BR005,Business,909050961.53,10.69,2024-08-07,12,164452069.4,Current,High
L000017,C08372,BR047,Auto,114296279.97,8.54,2020-12-10,48,82277164.85,Current,Low
L000018,C06797,BR027,Auto,403032547.84,7.03,2026-07-18,36,230919455.01,Current,High
L000019,C09877,BR009,Mortgage,1305511903.69,8.4,2025-11-02,240,608325097.59,Late,Medium
L000020,C06969,BR003,Mortgage,321134822.79,9.63,2025-06-18,300,210449059.98,Current,Medium
L000021,C03407,BR007,Mortgage,410262222.79,9.65,2023-10-24,240,68040932.15,Current,High
L000022,C07196,BR033,Personal,134355754.54,12.01,2025-02-24,48,88337577.66,Current,Low
L000023,C07321,BR016,Personal,184100468.63,17.21,2026-08-24,24,39758506.13,Current,Medium
L000024,C08489,BR011,Mortgage,632854459.51,10.39,2024-11-15,300,459844841.35,Late,High
L000025,C04793,BR037,Mortgage,300131875.83,8.79,2025-05-12,240,69599584.02,Current,Medium
L000026,C07903,BR043,Auto,532151852.7,7.78,2026-08-02,36,162602712.93,Current,Medium
L000027,C01566,BR047,Auto,232580404.65,9.26,2026-03-12,60,129327526.71,Current,Low
L000028,C03570,BR047,Auto,308222567.56,11.4,2023-05-08,72,244291787.62,Current,Low
L000029,C07909,BR050,Auto,245032854.95,10.5,2025-01-19,36,128157610.34,Current,Low
L000030,C01427,BR040,Auto,269230701.0,11.72,2022-08-11,48,215300494.52,Current,Low
L000031,C05384,BR033,Personal,153635166.21,17.1,2025-02-13,24,36726991.03,Current,Low
L000032,C00638,BR032,Business,593267386.84,13.28,2026-08-26,12,97149312.15,Current,High
L000033,C08296,BR036,Auto,141494179.34,10.1,2022-10-03,72,98381677.48,Current,Low
L000034,C06950,BR038,Personal,36014171.12,16.3,2020-03-16,60,12180285.11,Current,Low
L000035,C01071,BR016,Mortgage,444331598.53,6.59,2023-12-08,180,67611692.01,Current,High
L000036,C07701,BR006,Auto,1032205413.55,11.94,2026-05-09,60,223559470.22,Current,Low
L000037,C02537,BR020,Auto,354938932.77,11.81,2023-12-27,72,126703863.26,Current,Low
L000038,C06758,BR026,Mortgage,358254463.96,6.22,2025-09-07,120,214835173.62,Current,Low
L000039,C07236,BR039,Mortgage,955625910.1,7.96,2026-04-22,180,219180428.87,Current,Medium
L000040,C02045,BR012,Personal,36976475.68,13.96,2024-02-04,12,8060988.54,Current,Low
L000041,C03592,BR002,Personal,129782471.01,12.3,2024-03-23,24,66453206.62,Late,Medium
L000042,C02076,BR041,Mortgage,665552644.23,5.57,2026-07-28,180,371148594.45,Current,Low
L000043,C03416,BR032,Mortgage,3491127554.05,9.26,2026-01-14,120,2791804873.34,Default,Medium
L000044,C07377,BR009,Personal,694589761.72,12.36,2026-05-18,36,283158202.38,Late,Medium
L000045,C08934,BR021,Mortgage,623631790.14,5.73,2023-05-14,180,504061407.78,Default,High
L000046,C07878,BR037,Auto,180191741.02,12.12,2025-12-18,48,58465648.08,Current,Low
L000047,C06010,BR038,Auto,190337066.23,11.79,2024-02-24,36,140301619.17,Current,Low
L000048,C01639,BR038,Mortgage,768856855.29,7.33,2025-05-29,120,416738259.41,Late,High
L000049,C06847,BR044,Business,543861689.1,11.81,2022-11-28,12,300947703.33,Current,Medium
L000050,C00132,BR027,Personal,39563776.22,12.63,2025-08-06,48,19923829.14,Current,Low
L000051,C02451,BR009,Personal,47763664.72,17.6,2020-05-18,36,19176249.34,Current,Medium
L000052,C01998,BR040,Mortgage,453593384.44,7.69,2021-04-23,300,358229906.04,Late,Medium
L000053,C04007,BR008,Mortgage,787271186.4,7.28,2022-12-26,180,621042458.31,Late,High
L000054,C01588,BR001,Auto,595080508.53,8.91,2026-02-06,48,120783222.05,Current,Low
L000055,C06557,BR035,Business,2502818268.19,10.99,2021-12-12,12,1798247368.86,Default,Medium
L000056,C01528,BR038,Mortgage,268457029.37,8.72,2026-02-23,300,177402700.06,Current,Medium
L000057,C01479,BR033,Personal,194695822.94,16.16,2025-08-29,48,122026769.24,Late,Medium
L000058,C06122,BR028,Personal,223956092.09,16.96,2023-04-30,36,155350451.88,Late,Medium
L000059,C06177,BR050,Mortgage,501624148.95,7.85,2026-01-22,300,333468590.48,Current,Medium
